"id","lat","long"
2628,9.4309,55.0397
5307,5.01307,60.42042
5175,5.51667,62.0428
80,9.96008,57.0599
885,4.73214,52.25751
990,5.11253,51.78628
82,10.23,56.1564
3592,48.27059,30.33739
4523,144.2914,44.01287
5327,6.65538,58.23774
6344,-123.82051,46.96675
83,-2.07639,57.1418
2454,-2.03008,57.19079
1537,-3.29373,56.05039
3337,-4.02668,5.31653
5426,120.77046,13.46789
5642,22.52895,58.16331
5805,50.28857,40.43776
3181,35.20582,24.45205
84,54.32162,24.49677
5853,48.0218,30.45974
3599,55.0131,25.8688
3173,30.08159,31.31484
4856,139.70617,38.74492
4696,131.40431,31.5754
6089,-92.11368,29.90051
7155,-89.83842,13.57842
6616,-99.87767,16.84282
3338,-0.20812,5.53483
6767,-73.49023,-42.46726
777,24.5771,38.87015
516,22.96317,39.00667
528,22.80564,38.88623
1586,-5.49103,56.51167
3159,35.07135,32.91849
6234,-176.6376,51.8563
3813,138.53066,-34.79506
3454,45.01225,12.80028
3053,39.9359,43.40787
5766,18.88392,47.10837
1895,-3.01657,36.74249
2738,12.05162,45.05392
5,23.4257,37.7436
793,23.45771,37.77211
636,23.44568,37.72477
5653,24.7581,59.57161
2612,10.41321,54.89211
778,20.68444,38.34767
3578,53.92737,26.71754
3303,-9.634,30.4175
545,26.966,37.4525
2594,11.1998,55.21094
754,20.6006,38.3008
593,23.43341,37.73194
647,26.14919,38.30059
591,26.11842,38.28322
558,24.69024,35.09555
686,23.06863,39.09141
711,26.8513,37.15784
500,24.06446,38.18429
851,23.53813,37.74266
623,22.98194,36.32828
831,23.96061,35.22874
569,23.20232,37.34106
820,23.89867,38.2954
826,22.29794,38.35304
18,23.0884,37.9157
604,22.89044,39.67989
529,23.03412,38.93418
829,21.92221,36.86373
2269,22.78371,37.37123
617,27.33473,36.45958
721,23.02426,37.91874
842,25.50797,40.87528
684,24.14109,38.27933
627,24.98562,39.53824
698,22.88386,38.83661
625,19.9439,39.42611
613,19.92755,39.62486
40,22.8653,38.7582
553,23.72598,37.87859
77,26.298,37.6139
541,25.71923,35.19615
456,22.15695,38.34608
737,22.68416,38.36132
796,22.28181,36.82377
798,20.70879,37.90633
653,24.0593,35.55099
506,20.86406,37.71622
590,22.12462,38.36718
743,19.63276,39.75323
695,20.78882,38.97108
492,23.14108,38.18131
587,23.39434,37.63776
523,23.34824,37.71327
634,23.70996,39.08341
