lang,word
English,1
English,10
Proto-Indo-European,10
Proto-Germanic,10
Middle English,10
Old English,10
Ancient Greek,100
English,100
Proto-Indo-European,100
Proto-Hellenic,100
Proto-Indo-European,101
English,101
Proto-Germanic,101
Old English,101
Middle English,101
Proto-West Germanic,101
English,11
English,12
English,120
English,121
English,125
English,13
English,130
English,14
English,15
English,15th
English,16
English,17
English,18
English,180
English,1807
English,1840
English,1850
English,19
English,2
English,20
English,2000
English,21
English,21st
English,22
Ancient Greek,23
English,23
Proto-Indo-European,23
Proto-Hellenic,23
English,24
English,26
English,2nd
English,3
English,30
English,32
Ancient Greek,34
English,34
Proto-Indo-European,34
Proto-Hellenic,34
English,36
English,3d
English,4
English,40
English,41
Ancient Greek,42
English,42
Proto-Indo-European,42
Proto-Hellenic,42
English,45
Ancient Greek,46
English,46
Proto-Indo-European,46
Proto-Hellenic,46
English,49
English,5
English,50
English,52
English,6
English,60
Ancient Greek,65
English,65
Proto-Indo-European,65
Proto-Hellenic,65
English,69
English,7
English,70
English,72
English,8
English,80
English,800
English,85
Proto-Indo-European,85
Proto-Italic,85
Middle English,85
Old French,85
Old English,85
Proto-Germanic,85
Chichewa,85
Latin,85
Mandarin,85
English,88
English,9
English,90
English,96
English,98
Proto-Germanic,98
Middle English,98
Old English,98
Ancient Greek,A
Latin,A
Old French,A
Old Latin,A
English,Aah
Latin,Aback
Ancient Greek,Aback
Hebrew,Aback
Proto-Indo-European,Aback
English,Aback
Proto-Germanic,Aback
Old English,Aback
Middle English,Aback
Proto-West Germanic,Aback
English,Abaft
Ancient Greek,Abaft
Latin,Abaft
Middle French,Abaft
Proto-Indo-European,Abaft
Proto-Italic,Abaft
Proto-Hellenic,Abaft
Old French,Abaft
Middle English,Abaft
Old English,Abaft
Proto-Germanic,Abaft
Old Latin,Abaft
Proto-West Germanic,Abaft
Germanic,Abaft
Indo-European,Abaft
English,Abandon
French,Abandon
Latin,Abandon
Proto-Indo-European,Abandon
Frankish,Abandon
Ancient Greek,Abandon
Italian,Abandon
Middle French,Abandon
Proto-Italic,Abandon
Middle English,Abandon
Old French,Abandon
Proto-Germanic,Abandon
Old English,Abandon
Chichewa,Abandon
Mandarin,Abandon
English,Abandoned
French,Abandoned
Latin,Abandoned
Proto-Indo-European,Abandoned
Frankish,Abandoned
Ancient Greek,Abandoned
Italian,Abandoned
Middle French,Abandoned
Proto-Germanic,Abandoned
Old French,Abandoned
Middle English,Abandoned
English,Abandonedly
French,Abandonedly
Latin,Abandonedly
Proto-Indo-European,Abandonedly
Frankish,Abandonedly
Ancient Greek,Abandonedly
Italian,Abandonedly
Middle French,Abandonedly
Middle English,Abandonedly
Old English,Abandonedly
Proto-Germanic,Abandonedly
Old French,Abandonedly
Proto-West Germanic,Abandonedly
French,Abandonment
Latin,Abandonment
English,Abandonment
Middle French,Abandonment
Proto-Indo-European,Abandonment
Frankish,Abandonment
Ancient Greek,Abandonment
Italian,Abandonment
Old French,Abandonment
Proto-Germanic,Abandonment
Proto-Italic,Abandonment
English,Abased
Latin,Abased
Ancient Greek,Abased
Middle French,Abased
Proto-Indo-European,Abased
Proto-Italic,Abased
Proto-Hellenic,Abased
Old French,Abased
Middle English,Abased
Old English,Abased
New Latin,Abased
Late Latin,Abased
Vulgar Latin,Abased
Medieval Latin,Abased
Proto-Germanic,Abased
Proto-West Germanic,Abased
English,Abasement
Latin,Abasement
Ancient Greek,Abasement
Middle French,Abasement
Proto-Indo-European,Abasement
Proto-Italic,Abasement
Proto-Hellenic,Abasement
Old French,Abasement
Middle English,Abasement
New Latin,Abasement
Late Latin,Abasement
Vulgar Latin,Abasement
Medieval Latin,Abasement
English,Abashed
Middle English,Abashed
Old English,Abashed
Proto-Germanic,Abashed
Proto-West Germanic,Abashed
English,Abate
Ancient Greek,Abate
Aramaic,Abate
Proto-Indo-European,Abate
Latin,Abate
Proto-Semitic,Abate
Italian,Abate
Old French,Abate
Middle English,Abate
Anglo-Norman,Abate
Proto-Afroasiatic,Abate
Late Latin,Abate
English,Abated
Latin,Abatement
English,Abatement
Proto-Indo-European,Abatement
Italian,Abatement
Old French,Abatement
Anglo-Norman,Abatement
Late Latin,Abatement
Middle English,Abatement
Proto-Italic,Abatement
English,Abating
Latin,Abbreviate
English,Abbreviate
Proto-Indo-European,Abbreviate
Proto-Italic,Abbreviate
Middle English,Abbreviate
Old Latin,Abbreviate
Latin,Abbreviation
English,Abbreviation
Proto-Indo-European,Abbreviation
Proto-Italic,Abbreviation
Old Latin,Abbreviation
Middle English,Abbreviation
Late Latin,Abbreviation
Middle French,Abbreviation
Ecclesiastical Latin,Abbreviation
Indo-European,Abbreviation
Ancient Greek,Abeam
Latin,Abeam
English,Abeam
Middle French,Abeam
Proto-Indo-European,Abeam
Proto-Italic,Abeam
Middle Dutch,Abeam
Russian,Abeam
Proto-Hellenic,Abeam
Old French,Abeam
Old English,Abeam
Middle English,Abeam
Proto-Germanic,Abeam
Old Latin,Abeam
Anglo-Norman,Abeam
German,Abeam
Proto-West Germanic,Abeam
Old Church Slavonic,Abeam
Old High German,Abeam
Middle High German,Abeam
Germanic,Abeam
Vulgar Latin,Abeam
Indo-European,Abeam
Late Latin,Abeam
English,Abed
Proto-Indo-European,Abed
Hebrew,Abed
Proto-Germanic,Abed
Old English,Abed
Middle English,Abed
Arabic,Abed
Proto-West Germanic,Abed
English,Abel
Ancient Greek,Abel
Latin,Abel
Proto-Indo-European,Abel
French,Abel
Middle French,Abel
Hebrew,Abel
Proto-Hellenic,Abel
Biblical Hebrew,Abel
Old French,Abel
Middle English,Abel
Proto-Italic,Abel
English,Abhorred
English,Abhorrence
Latin,Abhorrence
Proto-Indo-European,Abhorrence
Proto-Italic,Abhorrence
Middle English,Abhorrence
Old French,Abhorrence
Proto-Germanic,Abhorrence
English,Abhorrent
Latin,Abhorrent
Proto-Indo-European,Abhorrent
Proto-Italic,Abhorrent
Middle English,Abhorrent
Old English,Abhorrent
Proto-Germanic,Abhorrent
Proto-West Germanic,Abhorrent
English,Abhorring
Latin,Abhorring
Gaulish,Abhorring
Proto-Celtic,Abhorring
Proto-Indo-European,Abhorring
Middle French,Abhorring
Proto-Italic,Abhorring
Old English,Abhorring
Proto-Germanic,Abhorring
Middle English,Abhorring
Proto-West Germanic,Abhorring
Celtic,Abhorring
English,Abide
Old English,Abide
Middle English,Abide
Proto-West Germanic,Abide
English,Abiding
Old English,Abiding
Middle English,Abiding
Ancient Greek,Abilene
English,Abilene
English,Ability
Latin,Ability
Proto-Indo-European,Ability
Pali,Ability
Proto-Italic,Ability
Middle English,Ability
Old French,Ability
English,Abjectly
Middle English,Abjectly
English,Able
Latin,Able
Proto-Indo-European,Able
Middle English,Able
Old French,Able
Proto-Germanic,Able
Old English,Able
Proto-Italic,Able
Proto-West Germanic,Able
English,Aboard
Proto-Indo-European,Aboard
Old English,Aboard
Proto-Germanic,Aboard
Middle English,Aboard
Proto-West Germanic,Aboard
Germanic,Aboard
English,Abode
Latin,Abode
Proto-Indo-European,Abode
Ancient Greek,Abode
Proto-Bantu,Abode
Old French,Abode
Franco-Provençal,Abode
Proto-Germanic,Abode
Old English,Abode
Middle English,Abode
Yoruba,Abode
Proto-Italic,Abode
Proto-West Germanic,Abode
Latin,Abominable
English,Abominable
Proto-Indo-European,Abominable
Proto-Italic,Abominable
Old French,Abominable
Middle English,Abominable
Old Latin,Abominable
Proto-Germanic,Abominable
Late Latin,Abominable
Latin,Abominate
English,Abominate
Middle French,Abominate
French,Abominate
Proto-Indo-European,Abominate
Proto-Italic,Abominate
Italian,Abominate
Spanish,Abominate
Middle English,Abominate
Old Latin,Abominate
Proto-Germanic,Abominate
Late Latin,Abominate
English,Abomination
Middle French,Abomination
Latin,Abomination
Middle English,Abomination
Late Latin,Abomination
English,Aboriginal
Proto-Indo-European,Aboriginal
Latin,Aboriginal
Proto-Italic,Aboriginal
Middle English,Aboriginal
Old English,Aboriginal
Proto-Germanic,Aboriginal
Proto-West Germanic,Aboriginal
English,Aboriginally
Proto-Indo-European,Aboriginally
Latin,Aboriginally
Proto-Italic,Aboriginally
Middle English,Aboriginally
Old English,Aboriginally
Proto-Germanic,Aboriginally
Proto-West Germanic,Aboriginally
Proto-Indo-European,Aboriginalness
Latin,Aboriginalness
English,Aboriginalness
Proto-Italic,Aboriginalness
Middle English,Aboriginalness
Proto-Germanic,Aboriginalness
Old English,Aboriginalness
Latin,Abortion
English,Abortion
Ancient Greek,Abortion
Proto-Indo-European,Abortion
Proto-Italic,Abortion
Proto-Germanic,Abortion
English,Abound
Latin,Abound
Proto-Indo-European,Abound
Old French,Abound
Proto-Germanic,Abound
Middle English,Abound
Proto-Italic,Abound
Old Latin,Abound
English,Abounding
Middle English,Abounding
Old English,Abounding
Proto-Germanic,Abounding
Proto-West Germanic,Abounding
English,Aboundingly
Middle English,Aboundingly
Old English,Aboundingly
Proto-Germanic,Aboundingly
Proto-West Germanic,Aboundingly
Proto-Germanic,About
Old English,About
Middle English,About
English,Above
Proto-Indo-European,Above
Latin,Above
Proto-Germanic,Above
Old English,Above
Middle English,Above
English,Abraham
Ancient Greek,Abraham
Hebrew,Abraham
Biblical Hebrew,Abraham
Latin,Abraham
Middle English,Abraham
Old English,Abraham
Late Latin,Abraham
Koine Greek,Abraham
English,Abreast
Proto-Indo-European,Abreast
Middle English,Abreast
Old English,Abreast
Old Norse,Abreast
Proto-Germanic,Abreast
Proto-West Germanic,Abreast
Germanic,Abreast
English,Abridged
Latin,Abridged
Proto-Indo-European,Abridged
Proto-Italic,Abridged
Middle English,Abridged
Old English,Abridged
Vietnamese,Abridged
Old French,Abridged
Late Latin,Abridged
Old Latin,Abridged
Latin,Abroad
English,Abroad
Middle French,Abroad
Proto-Indo-European,Abroad
Proto-Italic,Abroad
Old East Slavic,Abroad
Proto-Balto-Slavic,Abroad
Old High German,Abroad
Phoenician,Abroad
Old French,Abroad
Proto-Germanic,Abroad
Middle English,Abroad
Old English,Abroad
Proto-Slavic,Abroad
Old Norse,Abroad
German,Abroad
Old Latin,Abroad
Etruscan,Abroad
Egyptian,Abroad
Russian,Abroad
Ancient Greek,Abroad
Proto-West Germanic,Abroad
Middle High German,Abroad
Germanic,Abroad
Vulgar Latin,Abroad
Indo-European,Abroad
English,Abruptly
Latin,Abruptly
Proto-Indo-European,Abruptly
Proto-Italic,Abruptly
Middle English,Abruptly
Old English,Abruptly
Proto-Germanic,Abruptly
Proto-West Germanic,Abruptly
Latin,Absence
Proto-Indo-European,Absence
English,Absence
Ancient Greek,Absence
Proto-Italic,Absence
Middle English,Absence
Old French,Absence
Proto-Germanic,Absence
Proto-Hellenic,Absence
Old Latin,Absence
English,Absent
Latin,Absent
Proto-Indo-European,Absent
Middle French,Absent
Proto-Italic,Absent
Old English,Absent
Middle English,Absent
Proto-Germanic,Absent
Old French,Absent
Proto-West Germanic,Absent
Old Latin,Absent
English,Absolute
Middle French,Absolute
Latin,Absolute
Proto-Indo-European,Absolute
Proto-Italic,Absolute
Middle English,Absolute
Proto-Germanic,Absolute
Indo-European,Absolute
English,Absolutely
Middle French,Absolutely
Latin,Absolutely
Proto-Indo-European,Absolutely
Proto-Italic,Absolutely
Middle English,Absolutely
Old English,Absolutely
Proto-Germanic,Absolutely
Indo-European,Absolutely
Proto-West Germanic,Absolutely
English,Absorbed
Latin,Absorbed
Middle French,Absorbed
Proto-Indo-European,Absorbed
Proto-Italic,Absorbed
Middle English,Absorbed
Old English,Absorbed
Proto-Germanic,Absorbed
English,Absorbing
Latin,Absorbing
Middle French,Absorbing
Gaulish,Absorbing
Proto-Celtic,Absorbing
Proto-Indo-European,Absorbing
Proto-Italic,Absorbing
Old English,Absorbing
Proto-Germanic,Absorbing
Proto-West Germanic,Absorbing
Middle English,Absorbing
Celtic,Absorbing
English,Absorbingly
Latin,Absorbingly
Middle French,Absorbingly
Gaulish,Absorbingly
Proto-Celtic,Absorbingly
Proto-Indo-European,Absorbingly
Proto-Italic,Absorbingly
Old English,Absorbingly
Middle English,Absorbingly
Proto-Germanic,Absorbingly
Proto-West Germanic,Absorbingly
Celtic,Absorbingly
English,Abstemious
Latin,Abstemious
Proto-Indo-European,Abstemious
Proto-Italic,Abstemious
Old English,Abstemious
Middle English,Abstemious
Proto-Germanic,Abstemious
Proto-West Germanic,Abstemious
Latin,Abstinence
English,Abstinence
Proto-Indo-European,Abstinence
Ancient Greek,Abstinence
Proto-Italic,Abstinence
Old French,Abstinence
Proto-Germanic,Abstinence
Middle English,Abstinence
Proto-Hellenic,Abstinence
English,Abstract
Latin,Abstract
Ancient Greek,Abstract
Proto-Indo-European,Abstract
Proto-Italic,Abstract
Middle English,Abstract
Proto-Germanic,Abstract
Medieval Latin,Abstract
Middle French,Abstract
English,Abstracted
Latin,Abstracted
Proto-Indo-European,Abstracted
Middle English,Abstracted
Old English,Abstracted
Proto-Germanic,Abstracted
Proto-Italic,Abstracted
Proto-West Germanic,Abstracted
English,Abstraction
Latin,Abstraction
Arabic,Abstraction
Ancient Greek,Abstraction
Proto-Indo-European,Abstraction
Proto-Italic,Abstraction
German,Abstraction
Old French,Abstraction
Aramaic,Abstraction
Middle English,Abstraction
Proto-Germanic,Abstraction
Medieval Latin,Abstraction
Middle French,Abstraction
Andalusian Arabic,Abstraction
New Latin,Abstraction
Akkadian,Abstraction
English,Absurd
Latin,Absurd
Middle French,Absurd
Proto-Indo-European,Absurd
Proto-Italic,Absurd
Old English,Absurd
Middle English,Absurd
Proto-Germanic,Absurd
Old Latin,Absurd
Proto-West Germanic,Absurd
English,Absurdly
Latin,Absurdly
Middle French,Absurdly
Proto-Indo-European,Absurdly
Proto-Italic,Absurdly
Middle English,Absurdly
Old English,Absurdly
Old Latin,Absurdly
Proto-Germanic,Absurdly
Proto-West Germanic,Absurdly
Latin,Abundance
English,Abundance
Proto-Indo-European,Abundance
Middle English,Abundance
Old French,Abundance
Proto-Germanic,Abundance
Proto-Italic,Abundance
Old Latin,Abundance
Latin,Abundant
English,Abundant
Proto-Indo-European,Abundant
Old French,Abundant
Middle English,Abundant
Anglo-Norman,Abundant
Proto-Germanic,Abundant
Proto-Italic,Abundant
Old Latin,Abundant
English,Abundantly
Middle English,Abundantly
Ancient Greek,Academy
English,Academy
French,Academy
Proto-Indo-European,Academy
Latin,Academy
Proto-Hellenic,Academy
Latin,Accelerate
English,Accelerate
Proto-Indo-European,Accelerate
Proto-Italic,Accelerate
Hungarian,Accelerate
Proto-Turkic,Accelerate
Turkish,Accelerate
Old English,Accelerate
Proto-Germanic,Accelerate
Proto-Uralic,Accelerate
Old French,Accelerate
Middle English,Accelerate
Ottoman Turkish,Accelerate
Proto-West Germanic,Accelerate
Proto-Slavic,Accelerate
Old Latin,Accelerate
English,Accelerated
Latin,Accelerating
English,Accelerating
Proto-Indo-European,Accelerating
Proto-Italic,Accelerating
Hungarian,Accelerating
Proto-Turkic,Accelerating
Turkish,Accelerating
Old English,Accelerating
Proto-Germanic,Accelerating
Proto-Uralic,Accelerating
Old French,Accelerating
Middle English,Accelerating
Ottoman Turkish,Accelerating
Proto-West Germanic,Accelerating
Proto-Slavic,Accelerating
Old Latin,Accelerating
Latin,Accept
English,Accept
Proto-Indo-European,Accept
Proto-Italic,Accept
Old French,Accept
Middle English,Accept
Latin,Accepting
English,Accepting
Proto-Indo-European,Accepting
Proto-Italic,Accepting
Old French,Accepting
Middle English,Accepting
Latin,Accessible
English,Accessible
Proto-Indo-European,Accessible
Proto-Italic,Accessible
French,Accessible
Old Latin,Accessible
Late Latin,Accessible
Indo-European,Accessible
Latin,Accessory
English,Accessory
Proto-Indo-European,Accessory
Proto-Italic,Accessory
Old Latin,Accessory
Middle English,Accessory
Medieval Latin,Accessory
Indo-European,Accessory
English,Accident
Latin,Accident
Proto-Indo-European,Accident
Proto-Italic,Accident
Middle English,Accident
Old English,Accident
Anglo-Norman,Accident
Middle French,Accident
Late Latin,Accident
Proto-Germanic,Accident
Proto-West Germanic,Accident
English,Accidental
Latin,Accidental
Proto-Indo-European,Accidental
Proto-Italic,Accidental
Middle English,Accidental
Old English,Accidental
Anglo-Norman,Accidental
Middle French,Accidental
Late Latin,Accidental
Proto-Germanic,Accidental
Proto-West Germanic,Accidental
English,Accidentally
Latin,Accidentally
Proto-Indo-European,Accidentally
Proto-Italic,Accidentally
Middle English,Accidentally
Old English,Accidentally
Anglo-Norman,Accidentally
Middle French,Accidentally
Late Latin,Accidentally
Proto-Germanic,Accidentally
Proto-West Germanic,Accidentally
Latin,Accommodate
Proto-Indo-European,Accommodate
English,Accommodate
Proto-Italic,Accommodate
Ancient Greek,Accommodate
Middle Dutch,Accommodate
Russian,Accommodate
Phoenician,Accommodate
Proto-Germanic,Accommodate
Etruscan,Accommodate
Old Latin,Accommodate
German,Accommodate
Old Church Slavonic,Accommodate
Proto-West Germanic,Accommodate
Old High German,Accommodate
Middle English,Accommodate
Middle High German,Accommodate
Sicilian,Accommodate
Indo-European,Accommodate
Vulgar Latin,Accommodate
Egyptian,Accommodate
English,Accommodated
Latin,Accommodation
Proto-Indo-European,Accommodation
English,Accommodation
French,Accommodation
Ancient Greek,Accommodation
Proto-Italic,Accommodation
Middle Dutch,Accommodation
Russian,Accommodation
Phoenician,Accommodation
Proto-Germanic,Accommodation
Etruscan,Accommodation
Old Latin,Accommodation
German,Accommodation
Old Church Slavonic,Accommodation
Proto-West Germanic,Accommodation
Old High German,Accommodation
Middle English,Accommodation
Middle High German,Accommodation
Sicilian,Accommodation
Indo-European,Accommodation
Vulgar Latin,Accommodation
Egyptian,Accommodation
English,Accompanied
English,Accompanies
Latin,Accompanies
Proto-Indo-European,Accompanies
Proto-Italic,Accompanies
Ancient Greek,Accompanies
Middle Dutch,Accompanies
Russian,Accompanies
Phoenician,Accompanies
Proto-Germanic,Accompanies
Old French,Accompanies
Middle English,Accompanies
Old English,Accompanies
Etruscan,Accompanies
Old Latin,Accompanies
German,Accompanies
Old Church Slavonic,Accompanies
Proto-West Germanic,Accompanies
Old High German,Accompanies
Middle High German,Accompanies
Sicilian,Accompanies
Indo-European,Accompanies
Vulgar Latin,Accompanies
Egyptian,Accompanies
Proto-Slavic,Accompanies
English,Accompany
Latin,Accompany
Proto-Indo-European,Accompany
Proto-Italic,Accompany
Ancient Greek,Accompany
Middle Dutch,Accompany
Russian,Accompany
Phoenician,Accompany
Proto-Germanic,Accompany
Old French,Accompany
Middle English,Accompany
Etruscan,Accompany
Old Latin,Accompany
German,Accompany
Old Church Slavonic,Accompany
Proto-West Germanic,Accompany
Old High German,Accompany
Middle High German,Accompany
Sicilian,Accompany
Indo-European,Accompany
Vulgar Latin,Accompany
Egyptian,Accompany
Proto-Slavic,Accompany
English,Accompanying
English,Accomplish
Proto-Indo-European,Accomplish
Latin,Accomplish
Proto-Italic,Accomplish
Ancient Greek,Accomplish
Middle Dutch,Accomplish
Russian,Accomplish
Phoenician,Accomplish
Proto-Germanic,Accomplish
Old French,Accomplish
Etruscan,Accomplish
Old Latin,Accomplish
German,Accomplish
Old Church Slavonic,Accomplish
