lang,word
Proto-Germanic,It
Middle English,It
Old English,It
Middle English,The
Proto-Germanic,The
Old English,The
Proto-Germanic,You
Middle English,You
Old English,You
Proto-West Germanic,You
Proto-Germanic,About
Old English,About
Middle English,About
Old English,Forget
Latin,I
Proto-Germanic,And
Old English,And
Middle English,And
Proto-West Germanic,And
Proto-Germanic,My
Middle English,My
Old English,My
Proto-West Germanic,My
Proto-Germanic,Your
Middle English,Your
Proto-Germanic,Do
Old English,Do
Middle English,Do
Proto-West Germanic,Do
Proto-Germanic,Is
Middle English,Is
Old English,Is
Old English,Let
Proto-Germanic,Let
Old English,Not
Proto-Germanic,Not
Middle English,Not
Proto-West Germanic,Not
Latin,Oh
Old English,Oh
Proto-Germanic,Oh
Middle English,Oh
Proto-West Germanic,Oh
Proto-Germanic,So
Old English,So
Middle English,So
Proto-West Germanic,So
Proto-Germanic,Us
Middle English,Us
Old English,Us
Old Norse,Give
Proto-Germanic,Give
Proto-Germanic,That
Old English,That
Middle English,That
Proto-Germanic,Else
Old English,Else
Proto-West Germanic,Else
Old English,From
Proto-Germanic,From
Old Norse,From
Middle English,From
Proto-Germanic,Me
Middle English,Me
Old English,Me
Latin,No
Old High German,No
Proto-Italic,No
German,No
Old English,No
Proto-Germanic,No
Middle English,No
Old French,No
Proto-West Germanic,No
Late Latin,No
Middle English,Or
Old English,Or
Old English,Smooth
Proto-Germanic,Smooth
Proto-Germanic,Be
Middle English,Be
Old English,Be
Proto-West Germanic,Be
Old English,Heart
Proto-Germanic,Heart
Middle English,Heart
Proto-West Germanic,Heart
Proto-Germanic,Hey
Old English,Hey
Middle English,Hey
Proto-West Germanic,Hey
Proto-Germanic,Life
Old English,Life
Middle English,Life
Proto-West Germanic,Life
Frankish,Life
Proto-Germanic,Like
Old English,Like
Middle English,Like
Proto-Germanic,Make
Old English,Make
Middle English,Make
Proto-West Germanic,Make
Middle English,Of
Old English,Of
Proto-Germanic,Of
Proto-West Germanic,Of
Proto-Germanic,Real
Old English,Real
Middle English,Real
Latin,To
Middle English,To
Late Latin,To
Proto-Germanic,Would
Old English,Would
Middle English,Would
Old English,Are
Proto-Germanic,Are
Middle English,Are
Proto-West Germanic,Are
Latin,As
Old French,As
Middle English,As
Old English,As
